Masina,Culoare,Anul productiei,Numar locuri,Combustibil,Cutie de viteze,Tip Caroserie,Capacitate cilindrica,Putere,Transmisie,Consum Urban,Consum Extraurban,Pret
Volkswagen Touran,Albastru,2016,6.0,Diesel,Automata,Monovolum,1598.0,115.0,Fata,4.6,3.9,10500
Mazda 3,Negru,2009,5.0,Diesel,Manuala,Compact,1560.0,109.0,Fata,5.8,3.8,3999
Volkswagen Passat,Gri,2018,5.0,Diesel,Automata,Sedan,1968.0,190.0,4x4,5.4,4.1,19999
Opel Meriva,Negru,2010,5.0,Benzina,Manuala,Monovolum,1364.0,120.0,Fata,7.8,4.8,4999
Ford Focus,Albastru,2020,5.0,Diesel,Manuala,Sedan,1995.0,150.0,Fata,5.2,3.8,17990
Renault Megane,Alb,2019,5.0,Diesel,Manuala,Sedan,1461.0,115.0,Fata,4.5,3.6,11989
Nissan Qashqai,Negru,2016,5.0,Diesel,Automata,SUV,1598.0,130.0,Fata,5.6,4.6,11800
Peugeot 508,Gri,2019,5.0,Diesel,Automata,Sedan,1499.0,130.0,Fata,4.2,3.4,15450
Skoda Superb,Negru,2019,5.0,Diesel,Automata,Sedan,1968.0,150.0,Fata,4.9,3.4,21990
BMW X5,Gri,2021,5.0,Hibrid,Automata,SUV,2998.0,286.0,4x4,8.9,5.6,49900
Audi A6,Negru,2020,5.0,Diesel,Automata,Sedan,1968.0,163.0,Fata,5.2,4.0,32998
BMW Seria 3,Gri,2014,5.0,Diesel,Automata,Sedan,1995.0,143.0,Spate,5.4,3.9,13990
Mercedes-Benz GLC,Gri,2019,5.0,Benzina,Automata,SUV,1991.0,197.0,4x4,8.9,6.0,29800
Renault Captur,Alte culori,2013,5.0,Diesel,Manuala,SUV,1461.0,90.0,Fata,4.0,3.4,9990
Ford Kuga,Alte culori,2008,5.0,Diesel,Manuala,SUV,1997.0,136.0,4x4,8.1,5.4,7499
Dacia Duster,Negru,2011,5.0,Benzina,Manuala,SUV,1598.0,105.0,4x4,10.4,7.0,7299
Dacia Lodgy,Albastru,2012,5.0,Diesel,Manuala,Monovolum,1461.0,107.0,Fata,4.3,3.8,6999
Audi Q3,Argint,2012,5.0,Diesel,Automata,SUV,1968.0,177.0,4x4,7.0,5.3,14999
Volkswagen Polo,Alb,2024,5.0,Benzina,Manuala,Compact,999.0,80.0,Fata,5.8,4.1,15455
Mercedes-Benz GLS,Gri,2019,7.0,Diesel,Automata,SUV,2925.0,330.0,4x4,9.4,6.3,69998
BMW X5,Alte culori,2019,5.0,Diesel,Automata,SUV,2993.0,265.0,4x4,6.8,5.6,47529
Volkswagen Passat Alltrack,Gri,2019,5.0,Diesel,Automata,Sedan,1968.0,190.0,4x4,6.0,4.7,18990
Volvo S90,Albastru,2019,4.0,Diesel,Automata,Sedan,1969.0,190.0,Fata,5.5,4.2,26950
Mercedes-Benz C,Argint,2020,5.0,Diesel,Automata,Sedan,1950.0,194.0,4x4,5.6,4.3,24950
Volvo XC 90,Gri,2020,5.0,Diesel,Automata,SUV,1969.0,235.0,4x4,6.4,5.1,37997
BMW Seria 3,Gri,2020,5.0,Diesel,Automata,Sedan,1995.0,190.0,Spate,5.3,4.3,24988
Dacia Sandero Stepway,Albastru,2013,5.0,Diesel,Manuala,Compact,1461.0,90.0,Fata,3.9,3.6,6499
Nissan Qashqai,Negru,2007,5.0,Diesel,Manuala,SUV,1994.0,150.0,4x4,9.3,5.9,6000
BMW Seria 3,Argint,2010,5.0,Diesel,Manuala,Sedan,1995.0,143.0,Spate,5.6,4.1,5999
Audi Q3,Alte culori,2017,5.0,Diesel,Manuala,SUV,1968.0,149.0,Fata,4.8,3.9,18990
Audi Q7,Negru,2020,5.0,Hibrid,Automata,SUV,2995.0,340.0,4x4,10.9,7.4,54998
Audi A6,Gri,2020,5.0,Benzina,Automata,Sedan,1984.0,245.0,Fata,7.6,5.1,29988
Mercedes-Benz GLS,Alb,2020,7.0,Diesel,Automata,SUV,2925.0,330.0,4x4,9.4,6.3,73998
Mercedes-Benz S,Albastru,2017,5.0,Benzina,Automata,Sedan,3982.0,469.0,4x4,13.2,7.5,56000
Porsche Cayenne,Negru,2015,5.0,Diesel,Automata,SUV,2967.0,262.0,4x4,7.8,6.2,37000
Suzuki Grand Vitara,Argint,2012,5.0,Diesel,Manuala,SUV,1870.0,129.0,4x4,9.4,6.7,8550
BMW X5,Albastru,2021,5.0,Hibrid,Automata,SUV,2998.0,286.0,4x4,8.9,5.6,55997
Audi Q3,Albastru,2019,5.0,Diesel,Automata,SUV,1968.0,150.0,Fata,5.4,4.3,26498
BMW Seria 5,Gri,2013,5.0,Diesel,Manuala,Sedan,1995.0,184.0,Spate,5.8,4.4,12500
Dacia Duster,Alb,2021,5.0,Diesel,Manuala,SUV,1461.0,116.0,4x4,5.3,4.4,12950
BMW X4,Negru,2016,5.0,Diesel,Automata,SUV,1995.0,190.0,4x4,5.3,4.9,24690
Skoda Octavia,Albastru,2020,5.0,Diesel,Manuala,Sedan,1598.0,115.0,Fata,4.5,3.7,14489
